tick_n,phase,status,raw_eda,raw_hr,raw_hrv
126,BASELINE,NEW_DATA,21.1681,92.2112,nan
127,BASELINE,NEW_DATA,21.1806,92.2112,nan
128,BASELINE,NEW_DATA,21.1834,92.2112,nan
129,BASELINE,NEW_DATA,21.1861,92.2112,nan
130,BASELINE,NEW_DATA,21.1931,92.2112,nan
131,BASELINE,NEW_DATA,21.1972,92.2112,nan
132,BASELINE,NEW_DATA,21.1986,92.2112,nan
133,BASELINE,NEW_DATA,21.1986,92.2112,nan
134,BASELINE,NEW_DATA,21.2069,92.2112,nan
135,BASELINE,NEW_DATA,21.2097,92.2112,nan
136,BASELINE,NEW_DATA,21.2083,92.2112,nan
137,BASELINE,NEW_DATA,21.2208,92.2112,nan
138,BASELINE,NEW_DATA,21.2194,92.2112,nan
139,BASELINE,NEW_DATA,21.2167,92.2112,nan
140,BASELINE,NEW_DATA,21.2201,92.2112,nan
141,BASELINE,NEW_DATA,21.2236,92.2112,nan
142,BASELINE,NEW_DATA,21.2180,92.2112,nan
143,BASELINE,NEW_DATA,21.2208,92.2112,nan
144,BASELINE,NEW_DATA,21.2291,92.2112,nan
145,BASELINE,NEW_DATA,21.2305,92.2112,nan
146,BASELINE,NEW_DATA,21.2167,92.2112,nan
147,BASELINE,NEW_DATA,21.2180,92.2112,nan
148,BASELINE,NEW_DATA,21.2194,92.2112,nan
149,BASELINE,NEW_DATA,21.2264,92.2112,nan
150,BASELINE,NEW_DATA,21.2264,92.2112,nan
151,BASELINE,NEW_DATA,21.2250,92.2112,nan
152,BASELINE,NEW_DATA,21.2264,92.2112,nan
153,BASELINE,NEW_DATA,21.2264,92.2112,nan
154,BASELINE,NEW_DATA,21.2250,92.2112,nan
155,BASELINE,NEW_DATA,21.2264,92.2112,nan
156,BASELINE,NEW_DATA,21.2236,92.2112,nan
157,BASELINE,NEW_DATA,21.2222,92.2112,nan
158,BASELINE,NEW_DATA,21.2139,92.2112,nan
159,BASELINE,NEW_DATA,21.2125,92.2112,nan
160,BASELINE,NEW_DATA,21.2097,92.2112,nan
161,BASELINE,NEW_DATA,21.2014,92.2112,nan
162,BASELINE,NEW_DATA,21.2028,92.2112,nan
163,BASELINE,NEW_DATA,21.1958,92.2112,nan
164,BASELINE,NEW_DATA,21.1917,92.2112,nan
165,BASELINE,NEW_DATA,21.1889,92.2112,nan
166,BASELINE,NEW_DATA,21.1861,92.2112,nan
167,BASELINE,NEW_DATA,21.1820,92.2112,nan
168,BASELINE,NEW_DATA,21.1764,92.2112,nan
169,BASELINE,NEW_DATA,21.1764,92.2112,nan
170,BASELINE,NEW_DATA,21.1740,92.2112,nan
171,BASELINE,NEW_DATA,21.1723,92.2112,nan
172,BASELINE,NEW_DATA,21.1681,92.3450,nan
173,BASELINE,NEW_DATA,21.1626,92.3450,nan
174,BASELINE,NEW_DATA,21.1626,92.3450,nan
175,BASELINE,NEW_DATA,21.1612,92.3450,nan
176,BASELINE,NEW_DATA,21.1750,92.3450,nan
177,BASELINE,NEW_DATA,21.1556,92.3450,nan
178,BASELINE,NEW_DATA,21.1521,92.3450,nan
179,BASELINE,NEW_DATA,21.1528,92.3450,nan
180,BASELINE,NEW_DATA,21.1584,92.3450,nan
181,BASELINE,NEW_DATA,21.1528,92.3450,nan
182,BASELINE,NEW_DATA,21.1626,92.3450,nan
183,BASELINE,NEW_DATA,21.1570,92.3450,nan
184,BASELINE,NEW_DATA,21.1626,92.3450,nan
185,BASELINE,NEW_DATA,21.1626,92.3450,nan
186,BASELINE,NEW_DATA,21.1639,92.3450,nan
187,BASELINE,NEW_DATA,21.1598,92.3450,nan
188,BASELINE,NEW_DATA,21.1570,92.3450,nan
189,BASELINE,NEW_DATA,21.1542,92.3450,nan
190,BASELINE,NEW_DATA,21.1528,92.3450,nan
191,BASELINE,NEW_DATA,21.1445,92.3450,nan
192,BASELINE,NEW_DATA,21.1431,92.3450,nan
193,BASELINE,NEW_DATA,21.1431,92.3450,nan
194,BASELINE,NEW_DATA,21.1431,92.3450,nan
195,BASELINE,NEW_DATA,21.1348,92.3450,nan
196,BASELINE,NEW_DATA,21.1306,92.5547,nan
197,BASELINE,NEW_DATA,21.1293,92.5547,nan
198,BASELINE,NEW_DATA,21.1209,92.5547,nan
199,BASELINE,NEW_DATA,21.1209,92.5547,nan
200,BASELINE,NEW_DATA,21.1154,92.5547,nan
201,BASELINE,NEW_DATA,21.1140,92.5547,nan
202,BASELINE,NEW_DATA,21.1112,92.5547,nan
203,BASELINE,NEW_DATA,21.1071,92.5547,nan
204,BASELINE,NEW_DATA,21.1057,92.5547,nan
205,BASELINE,NEW_DATA,21.0946,92.5547,nan
206,BASELINE,NEW_DATA,21.1001,92.5547,nan
207,BASELINE,NEW_DATA,21.1043,92.5547,nan
208,BASELINE,NEW_DATA,21.0918,92.5547,nan
209,BASELINE,NEW_DATA,21.0779,92.5547,nan
210,BASELINE,NEW_DATA,21.0779,92.5547,nan
211,BASELINE,NEW_DATA,21.0779,92.5547,nan
212,BASELINE,NEW_DATA,21.0779,92.5547,nan
213,BASELINE,NEW_DATA,21.0682,92.5547,nan
214,BASELINE,NEW_DATA,21.0696,92.5547,nan
215,BASELINE,NEW_DATA,21.0599,92.5547,nan
216,BASELINE,NEW_DATA,21.0571,92.5547,nan
217,BASELINE,NEW_DATA,21.0599,92.5547,nan
218,BASELINE,NEW_DATA,21.0571,92.5547,nan
219,BASELINE,NEW_DATA,21.0488,92.5547,nan
220,BASELINE,NEW_DATA,21.0516,92.5547,nan
221,BASELINE,NEW_DATA,21.0446,92.3988,nan
222,BASELINE,NEW_DATA,21.0349,92.3988,nan
223,BASELINE,NEW_DATA,21.0349,92.3988,nan
224,BASELINE,NEW_DATA,21.0363,92.3988,nan
225,BASELINE,NEW_DATA,21.0280,92.3988,nan
226,BASELINE,NEW_DATA,21.0294,92.3988,nan
227,BASELINE,NEW_DATA,21.0280,92.3988,nan
228,BASELINE,NEW_DATA,21.0197,92.3988,nan
229,BASELINE,NEW_DATA,21.0127,92.3988,nan
230,BASELINE,NEW_DATA,21.0100,92.3988,nan
231,BASELINE,NEW_DATA,21.0072,92.3988,nan
232,BASELINE,NEW_DATA,21.0030,92.3988,nan
233,BASELINE,NEW_DATA,21.0044,92.3988,nan
234,BASELINE,NEW_DATA,21.0030,92.3988,nan
235,BASELINE,NEW_DATA,20.9933,92.3988,nan
236,BASELINE,NEW_DATA,20.9905,92.3988,nan
237,BASELINE,NEW_DATA,20.9836,92.3988,nan
238,BASELINE,NEW_DATA,20.9905,92.3988,nan
239,BASELINE,NEW_DATA,20.9961,92.3988,nan
240,BASELINE,NEW_DATA,20.9822,92.3988,nan
241,BASELINE,NEW_DATA,20.9753,92.3988,nan
242,BASELINE,NEW_DATA,20.9739,92.3988,nan
243,BASELINE,NEW_DATA,20.9760,92.3988,nan
244,BASELINE,NEW_DATA,20.9656,92.3988,nan
245,BASELINE,NEW_DATA,20.9725,92.3988,nan
246,BASELINE,NEW_DATA,20.9711,92.3988,nan
247,BASELINE,NEW_DATA,20.9718,92.3988,nan
248,BASELINE,NEW_DATA,20.9642,92.3988,nan
249,BASELINE,NEW_DATA,20.9656,92.3988,nan
250,BASELINE,NEW_DATA,20.9628,92.3988,nan
251,BASELINE,NEW_DATA,20.9628,92.3988,nan
252,BASELINE,NEW_DATA,20.9628,92.3988,nan
253,BASELINE,NEW_DATA,20.9573,92.3988,nan
254,BASELINE,NEW_DATA,20.9541,92.3988,nan
255,BASELINE,NEW_DATA,20.9475,92.3988,nan
256,BASELINE,NEW_DATA,20.9475,92.3988,nan
257,BASELINE,NEW_DATA,20.9517,92.3988,nan
258,BASELINE,NEW_DATA,20.9448,92.3988,nan
259,BASELINE,NEW_DATA,20.9406,92.3988,nan
260,BASELINE,NEW_DATA,20.9364,92.3988,nan
261,BASELINE,NEW_DATA,20.9351,92.3988,nan
262,BASELINE,NEW_DATA,20.9351,92.3988,nan
263,BASELINE,NEW_DATA,20.9309,92.3988,nan
264,BASELINE,NEW_DATA,20.9378,92.3988,nan
265,BASELINE,NEW_DATA,20.9323,92.3988,nan
266,BASELINE,NEW_DATA,20.9309,92.3988,nan
267,BASELINE,NEW_DATA,20.9323,92.3988,nan
268,BASELINE,NEW_DATA,20.9253,92.3988,nan
269,BASELINE,NEW_DATA,20.9253,92.2124,nan
270,BASELINE,NEW_DATA,20.9240,92.2124,nan
271,BASELINE,NEW_DATA,20.9351,92.2124,nan
272,BASELINE,NEW_DATA,20.9170,92.2124,nan
273,BASELINE,NEW_DATA,20.9156,92.2124,nan
274,BASELINE,NEW_DATA,20.9129,92.2124,nan
275,BASELINE,NEW_DATA,20.9129,92.2124,nan
276,BASELINE,NEW_DATA,20.9156,92.2124,nan
277,BASELINE,NEW_DATA,20.9129,92.2124,nan
278,BASELINE,NEW_DATA,20.9101,92.2124,nan
279,BASELINE,NEW_DATA,20.9073,92.2124,nan
280,BASELINE,NEW_DATA,20.9115,92.2124,nan
281,BASELINE,NEW_DATA,20.9087,92.2124,nan
282,BASELINE,NEW_DATA,20.9101,92.2124,nan
283,BASELINE,NEW_DATA,20.9073,92.2124,nan
284,BASELINE,NEW_DATA,20.9045,92.2124,nan
285,BASELINE,NEW_DATA,20.9018,92.2124,nan
286,BASELINE,NEW_DATA,20.8990,92.2124,nan
287,BASELINE,NEW_DATA,20.8990,92.2124,nan
288,BASELINE,NEW_DATA,20.8934,92.2124,nan
289,BASELINE,NEW_DATA,20.8921,92.2124,nan
290,BASELINE,NEW_DATA,20.8879,92.2124,nan
