time,normEDA,normHRV,normHR,s_instant,s_t,height
9104.0000,48.7263,22.0987,-0.1853,30.9557,31.6318,
9105.0000,48.6901,22.0987,-0.1853,30.9376,31.6015,
9106.0000,48.6901,22.0987,-0.1853,30.9376,31.5703,
9107.0000,48.6901,22.0987,-0.1853,30.9376,31.5411,
9108.0000,48.4754,22.0987,-0.1853,30.8302,31.5074,
9109.0000,48.7005,22.0987,-0.1853,30.9428,31.4775,
9110.0000,48.4573,22.0987,-0.1853,30.8212,31.4456,
9111.0000,48.5116,22.0987,-0.1853,30.8483,31.4142,
9112.0000,48.4573,22.0987,-0.1853,30.8212,31.3847,
9113.0000,48.3848,22.0987,-0.1853,30.7849,31.3518,
9114.0000,48.3305,22.1936,-0.3133,30.7607,31.3216,
9115.0000,48.3124,22.1936,-0.3133,30.7516,31.2900,
9116.0000,48.4029,22.1936,-0.3133,30.7969,31.2699,
9117.0000,48.1520,22.1936,-0.3133,30.6714,31.2465,
9118.0000,48.2063,22.1936,-0.3133,30.6986,31.2234,
9119.0000,48.2968,22.1936,-0.3133,30.7438,31.2036,
9120.0000,48.1157,22.1936,-0.3133,30.6533,31.1806,
9121.0000,48.1882,22.1936,-0.3133,30.6895,31.1590,
9122.0000,48.0278,22.1936,-0.3133,30.6093,31.1372,
9123.0000,48.2244,22.1936,-0.3133,30.7076,31.1174,
9124.0000,47.9734,22.1936,-0.3133,30.5821,31.0952,
9125.0000,48.0278,22.1936,-0.3133,30.6093,31.0742,
9126.0000,48.0536,22.1936,-0.3133,30.6222,31.0538,
9127.0000,47.8467,22.1936,-0.3133,30.5187,31.0316,
9128.0000,47.9553,22.1936,-0.3133,30.5731,31.0114,
9129.0000,47.8648,21.1426,-0.2063,30.2339,30.9846,
9130.0000,47.9191,21.1426,-0.2063,30.2611,30.9584,
9131.0000,48.0433,21.1426,-0.2063,30.3232,30.9352,
9132.0000,47.7561,21.1426,-0.2063,30.1796,30.9084,
9133.0000,47.9372,21.1426,-0.2063,30.2701,30.8852,
9134.0000,47.7561,21.1426,-0.2063,30.1796,30.8606,
9135.0000,47.9734,21.1426,-0.2063,30.2882,30.8377,
9136.0000,47.9010,21.1426,-0.2063,30.2520,30.8163,
9137.0000,47.8286,21.1426,-0.2063,30.2158,30.7928,
9138.0000,47.9450,21.1426,-0.2063,30.2740,30.7719,
9139.0000,47.7742,21.1426,-0.2063,30.1886,30.7499,
9140.0000,48.0097,21.1426,-0.2063,30.3063,30.7303,
9141.0000,47.7406,21.1426,-0.2063,30.1718,30.7095,
9142.0000,48.0795,21.1426,-0.2063,30.3413,30.6911,
9143.0000,47.9010,21.1426,-0.2063,30.2520,30.6726,
9144.0000,47.8104,21.1426,-0.2063,30.2067,30.6512,
9145.0000,47.9010,21.1426,-0.1109,30.2711,30.6334,
9146.0000,47.6863,21.1426,-0.1109,30.1637,30.6139,
9147.0000,47.8389,21.1426,-0.1109,30.2400,30.5960,
9148.0000,47.6863,21.1426,-0.1109,30.1637,30.5780,
9149.0000,47.8389,21.1426,-0.1109,30.2400,30.5601,
9150.0000,47.5776,21.1426,-0.1109,30.1094,30.5406,
9151.0000,47.6681,21.1426,-0.1109,30.1547,30.5222,
9152.0000,47.7561,21.1426,-0.1109,30.1986,30.5049,
9153.0000,47.5233,21.1426,-0.1109,30.0822,30.4875,
9154.0000,47.6578,21.1426,-0.1109,30.1495,30.4713,
9155.0000,47.6863,21.1426,-0.1109,30.1637,30.4559,
9156.0000,47.5776,21.1426,-0.1109,30.1094,30.4393,
9157.0000,47.4353,21.1426,-0.1109,30.0382,30.4213,
9158.0000,47.3266,21.1426,-0.1109,29.9839,30.4044,
9159.0000,47.5776,21.1426,-0.1109,30.1094,30.3877,
9160.0000,47.3628,21.1426,-0.1109,30.0020,30.3713,
9161.0000,47.3628,21.4412,0.2086,30.1555,30.3575,
9162.0000,47.3085,21.4412,0.2086,30.1283,30.3436,
9163.0000,47.2542,21.4412,0.2086,30.1012,30.3299,
9164.0000,47.3628,21.4412,0.2086,30.1555,30.3178,
9165.0000,47.1843,21.4412,0.2086,30.0662,30.3041,
9166.0000,47.3344,21.4412,0.2086,30.1413,30.2910,
9167.0000,47.1481,21.4412,0.2086,30.0481,30.2785,
9168.0000,47.0213,21.4412,0.2086,29.9847,30.2643,
9169.0000,47.1662,21.4412,0.2086,30.0572,30.2505,
9170.0000,46.8609,21.4412,0.2086,29.9045,30.2356,
9171.0000,46.9411,21.4412,0.2086,29.9446,30.2207,
9172.0000,46.8247,21.4412,0.2086,29.8864,30.2062,
9173.0000,46.7523,21.4412,0.2086,29.8502,30.1891,
9174.0000,46.8247,21.4412,0.2086,29.8864,30.1751,
9175.0000,46.6617,21.4412,0.2086,29.8049,30.1591,
9176.0000,46.8428,21.4412,0.2086,29.8955,30.1445,
9177.0000,46.5013,21.9665,0.5603,29.9526,30.1332,
9178.0000,46.6177,21.9665,0.5603,30.0109,30.1220,
9179.0000,46.5737,21.9665,0.5603,29.9889,30.1171,
9180.0000,46.4030,21.9665,0.5603,29.9035,30.1099,
9181.0000,46.5375,21.9665,0.5603,29.9708,30.1029,
9182.0000,46.2865,21.9665,0.5603,29.8453,30.0962,
9183.0000,46.3926,21.9665,0.5603,29.8983,30.0887,
9184.0000,46.3228,21.9665,0.5603,29.8634,30.0824,
9185.0000,46.5090,21.9665,0.5603,29.9565,30.0758,
9186.0000,46.3486,21.9665,0.5603,29.8763,30.0683,
9187.0000,46.1960,21.9665,0.5603,29.8000,30.0599,
9188.0000,46.2503,21.9665,0.5603,29.8272,30.0510,
9189.0000,46.0873,21.9665,0.5603,29.7457,30.0421,
9190.0000,46.1960,21.9665,0.5603,29.8000,30.0320,
9191.0000,46.1598,21.9665,0.5603,29.7819,30.0242,
9192.0000,46.2503,21.9665,0.5603,29.8272,30.0139,
9193.0000,46.1054,25.2291,0.5603,30.7335,30.0236,
9194.0000,45.9269,25.2291,0.5603,30.6442,30.0323,
9195.0000,46.1960,25.2291,0.5603,30.7788,30.0425,
9196.0000,45.8182,25.2291,0.5603,30.5899,30.0510,
9197.0000,45.9088,25.2291,0.5603,30.6352,30.0589,
9198.0000,45.8726,25.2291,0.5603,30.6171,30.0680,
9199.0000,45.8182,25.2291,0.5603,30.5899,30.0750,
9200.0000,45.8907,25.2291,0.5603,30.6261,30.0853,
9201.0000,45.7303,25.2291,0.5603,30.5459,30.0931,
9202.0000,45.8648,25.2291,0.5603,30.6132,30.1014,
9203.0000,45.7665,25.2291,0.5603,30.5640,30.1111,
9204.0000,45.7846,25.2291,0.5603,30.5731,30.1195,
9205.0000,45.8182,25.2291,0.5603,30.5899,30.1281,
9206.0000,45.5776,25.2291,0.5603,30.4696,30.1353,
9207.0000,45.6397,25.2291,0.5603,30.5006,30.1445,
9208.0000,45.5414,25.0864,0.5201,30.4006,30.1528,
9209.0000,45.7665,25.0864,0.5201,30.5132,30.1609,
9210.0000,45.5492,25.0864,0.5201,30.4045,30.1690,
9211.0000,45.5311,25.0864,0.5201,30.3955,30.1738,
9212.0000,45.4974,25.0864,0.5201,30.3786,30.1788,
9213.0000,45.3525,25.0864,0.5201,30.3062,30.1829,
9214.0000,45.4069,25.0864,0.5201,30.3334,30.1864,
9215.0000,45.3525,25.0864,0.5201,30.3062,30.1912,
9216.0000,45.3888,25.0864,0.5201,30.3243,30.1949,
9217.0000,45.2801,25.0864,0.5201,30.2700,30.1993,
9218.0000,45.1921,25.0864,0.5201,30.2260,30.2042,
9219.0000,45.2284,25.0864,0.5201,30.2441,30.2079,
9220.0000,45.0654,25.0864,0.5201,30.1626,30.2131,
9221.0000,45.1559,25.0864,0.5201,30.2079,30.2183,
9222.0000,45.0291,25.0864,0.5201,30.1445,30.2235,
9223.0000,45.0291,25.0864,0.5201,30.1445,30.2294,
9224.0000,44.9929,24.8827,1.6021,30.2817,30.2373,
9225.0000,44.9231,24.8827,1.6021,30.2468,30.2461,
9226.0000,45.0291,24.8827,1.6021,30.2998,30.2542,
9227.0000,44.7782,24.8827,1.6021,30.1743,30.2586,
9228.0000,44.9567,24.8827,1.6021,30.2636,30.2637,
9229.0000,44.7419,24.8827,1.6021,30.1562,30.2670,
9230.0000,44.7782,24.8827,1.6021,30.1743,30.2724,
9231.0000,44.7238,24.8827,1.6021,30.1472,30.2760,
9232.0000,44.5712,24.8827,1.6021,30.0708,30.2805,
9233.0000,44.7419,24.8827,1.6021,30.1562,30.2856,
9234.0000,44.4910,24.8827,1.6021,30.0307,30.2890,
9235.0000,44.5996,24.8827,1.6021,30.0851,30.2916,
9236.0000,44.4729,24.8827,1.6021,30.0217,30.2945,
9237.0000,44.4910,24.8827,1.6021,30.0307,30.2991,
9238.0000,44.4910,24.8827,1.6021,30.0307,30.3032,
9239.0000,44.3487,24.8827,1.6021,29.9596,30.3074,
9240.0000,44.5272,25.3851,2.3596,30.3511,30.3185,
9241.0000,44.4185,25.3851,2.3596,30.2967,30.3287,
9242.0000,44.3668,25.3851,2.3596,30.2708,30.3376,
9243.0000,44.3125,25.3851,2.3596,30.2437,30.3278,
9244.0000,44.1314,25.3851,2.3596,30.1531,30.3180,
9245.0000,44.2762,25.3851,2.3596,30.2256,30.3069,
9246.0000,44.0796,25.3851,2.3596,30.1273,30.2977,
9247.0000,44.1779,25.3851,2.3596,30.1764,30.2885,
9248.0000,44.0253,25.3851,2.3596,30.1001,30.2782,
