timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-05-25 15:45:59.468,LIVE,12.6479,90.4977,20.0571
2026-05-25 15:45:59.499,LIVE,12.6478,90.4977,20.0571
2026-05-25 15:45:59.531,LIVE,12.6479,90.4977,20.0571
2026-05-25 15:45:59.562,LIVE,12.6478,90.4977,20.0571
2026-05-25 15:45:59.593,LIVE,12.6478,90.4977,20.0571
2026-05-25 15:45:59.624,LIVE,12.6477,90.4977,20.0571
2026-05-25 15:45:59.655,LIVE,12.6477,90.4977,20.0571
2026-05-25 15:45:59.686,LIVE,12.6475,90.4977,20.0571
2026-05-25 15:45:59.718,LIVE,12.6474,90.4977,20.0571
2026-05-25 15:45:59.749,LIVE,12.6473,90.4977,20.0571
2026-05-25 15:45:59.781,LIVE,12.6472,90.4977,20.0571
2026-05-25 15:45:59.812,LIVE,12.6471,90.4977,20.0571
2026-05-25 15:45:59.843,LIVE,12.647,90.4977,20.0571
2026-05-25 15:45:59.875,LIVE,12.6469,90.4977,20.0571
2026-05-25 15:45:59.905,LIVE,12.6469,90.4977,20.0571
2026-05-25 15:45:59.936,LIVE,12.6471,90.4977,20.0571
2026-05-25 15:45:59.967,LIVE,12.6474,90.4977,20.0571
2026-05-25 15:45:59.999,LIVE,12.6477,90.4977,20.0571
2026-05-25 15:46:00.030,LIVE,12.6479,90.4977,20.0571
2026-05-25 15:46:00.061,LIVE,12.6483,90.4977,20.0571
2026-05-25 15:46:00.092,LIVE,12.6487,90.4977,20.0571
2026-05-25 15:46:00.123,LIVE,12.6491,90.4977,20.0571
2026-05-25 15:46:00.155,LIVE,12.6495,90.4977,20.0571
2026-05-25 15:46:00.186,LIVE,12.6497,90.4977,20.0571
2026-05-25 15:46:00.218,LIVE,12.6499,90.4977,20.0571
2026-05-25 15:46:00.249,LIVE,12.6501,90.4977,20.0571
2026-05-25 15:46:00.279,LIVE,12.6504,90.4977,20.0571
2026-05-25 15:46:00.310,LIVE,12.6506,90.4977,20.0571
2026-05-25 15:46:00.341,LIVE,12.6508,90.4977,20.0571
2026-05-25 15:46:00.373,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.404,LIVE,12.6511,90.4977,20.0571
2026-05-25 15:46:00.435,LIVE,12.6512,90.4977,20.0571
2026-05-25 15:46:00.466,LIVE,12.6512,90.4977,20.0571
2026-05-25 15:46:00.497,LIVE,12.6511,90.4977,20.0571
2026-05-25 15:46:00.529,LIVE,12.651,90.4977,20.0571
2026-05-25 15:46:00.560,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.592,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.623,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.655,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.685,LIVE,12.6509,90.4977,20.0571
2026-05-25 15:46:00.715,LIVE,12.6507,90.4977,20.0571
2026-05-25 15:46:00.746,LIVE,12.6507,90.4977,20.0571
2026-05-25 15:46:00.778,LIVE,12.6506,90.4977,20.0571
2026-05-25 15:46:00.809,LIVE,12.6504,90.4977,20.0571
2026-05-25 15:46:00.839,LIVE,12.65,90.4977,20.0571
2026-05-25 15:46:00.871,LIVE,12.6498,90.4977,20.0571
2026-05-25 15:46:00.903,LIVE,12.6495,90.4977,20.0571
2026-05-25 15:46:00.935,LIVE,12.649,90.4977,20.0571
2026-05-25 15:46:00.965,LIVE,12.6486,90.4977,20.0571
2026-05-25 15:46:00.997,LIVE,12.6482,90.4977,20.0571
2026-05-25 15:46:01.027,LIVE,12.6478,90.4977,20.0571
2026-05-25 15:46:01.059,LIVE,12.6474,90.4977,20.0571
2026-05-25 15:46:01.090,LIVE,12.6472,90.4977,20.0571
2026-05-25 15:46:01.121,LIVE,12.6468,90.4977,20.0571
2026-05-25 15:46:01.153,LIVE,12.6467,90.4977,20.0571
2026-05-25 15:46:01.185,LIVE,12.6463,90.4977,20.0571
2026-05-25 15:46:01.215,LIVE,12.6461,90.4977,20.0571
2026-05-25 15:46:01.247,LIVE,12.646,90.4977,20.0571
2026-05-25 15:46:01.279,LIVE,12.6458,90.4977,20.0571
2026-05-25 15:46:01.309,LIVE,12.6457,90.4977,20.0571
2026-05-25 15:46:01.341,LIVE,12.6457,90.4977,20.0571
