tick_n,phase,status,raw_eda,raw_hr,raw_hrv,smooth_eda,smooth_hr,smooth_hrv
132,LIVE,NEW_DATA,5.5875,90.7177,32.2960,5.5875,90.7177,32.2960
133,LIVE,NEW_DATA,5.5535,91.2607,32.0454,5.5535,91.2607,32.0454
134,LIVE,NEW_DATA,5.4058,92.1948,29.6906,5.4058,92.1948,29.6906
135,LIVE,NEW_DATA,4.1861,92.4269,29.5268,4.1861,92.4269,29.5268
136,LIVE,NEW_DATA,5.6534,92.5840,28.3135,5.6534,92.5840,28.3135
137,LIVE,NEW_DATA,5.5937,92.6774,28.3118,5.5937,92.6774,28.3118
138,LIVE,NEW_DATA,5.5972,92.7010,27.3067,5.5972,92.7010,27.3067
139,LIVE,NEW_DATA,5.2213,93.5708,27.7576,5.2213,93.5708,27.7576
140,LIVE,NEW_DATA,4.5211,93.7066,28.1056,4.5211,93.7066,28.1056
141,LIVE,NEW_DATA,4.6917,93.5863,27.8538,4.6917,93.5863,27.8538
142,LIVE,NEW_DATA,5.8642,93.2457,30.5812,5.8642,93.2457,30.5812
143,LIVE,NEW_DATA,4.5749,93.2660,31.0766,4.5749,93.2660,31.0766
144,LIVE,NEW_DATA,4.7864,93.2742,31.2879,4.7864,93.2742,31.2879
145,LIVE,NEW_DATA,5.2747,93.2829,31.8897,5.2747,93.2829,31.8897
146,LIVE,NEW_DATA,6.1077,92.8202,33.0495,6.1077,92.8202,33.0495
147,LIVE,NEW_DATA,6.0577,92.8139,33.2947,6.0577,92.8139,33.2947
148,LIVE,NEW_DATA,6.0938,92.5711,33.7027,6.0938,92.5711,33.7027
149,LIVE,NEW_DATA,4.7958,92.6566,35.0948,4.7958,92.6566,35.0948
150,LIVE,NEW_DATA,4.8800,92.7002,35.3792,4.8800,92.7002,35.3792
151,LIVE,NEW_DATA,6.4964,92.8381,35.1648,6.4964,92.8381,35.1648
152,LIVE,NEW_DATA,5.9232,92.8364,35.1488,5.9232,92.8364,35.1488
153,LIVE,NEW_DATA,5.2771,92.5040,35.4145,5.2771,92.5040,35.4145
154,LIVE,NEW_DATA,4.9040,92.0226,36.0617,4.9040,92.0226,36.0617
155,LIVE,NEW_DATA,5.8552,91.4419,36.2455,5.8552,91.4419,36.2455
156,LIVE,NEW_DATA,6.3241,90.9647,37.8194,6.3241,90.9647,37.8194
157,LIVE,NEW_DATA,4.9591,90.7718,37.9086,4.9591,90.7718,37.9086
158,LIVE,NEW_DATA,6.4739,90.5709,37.8943,6.4739,90.5709,37.8943
159,LIVE,NEW_DATA,5.4314,90.9524,37.3314,5.4314,90.9524,37.3314
160,LIVE,NEW_DATA,6.0536,91.0475,37.2701,6.0536,91.0475,37.2701
161,LIVE,NEW_DATA,6.2526,91.2419,37.2909,6.2526,91.2419,37.2909
162,LIVE,NEW_DATA,5.2671,91.5204,37.1087,5.2671,91.5204,37.1087
163,LIVE,NEW_DATA,5.6825,91.4438,35.2339,5.6825,91.4438,35.2339
164,LIVE,NEW_DATA,6.4326,91.8577,35.0725,6.4326,91.8577,35.0725
165,LIVE,NEW_DATA,5.0735,92.4217,34.8540,5.0735,92.4217,34.8540
166,LIVE,NEW_DATA,5.2508,92.0478,36.5100,5.2508,92.0478,36.5100
167,LIVE,NEW_DATA,5.8490,91.7314,36.4438,5.8490,91.7314,36.4438
168,LIVE,NEW_DATA,6.3213,92.2543,36.1306,6.3213,92.2543,36.1306
169,LIVE,NEW_DATA,5.1297,93.1684,35.7822,5.1297,93.1684,35.7822
170,LIVE,NEW_DATA,5.4037,93.8676,34.9378,5.4037,93.8676,34.9378
171,LIVE,NEW_DATA,5.4779,94.1770,34.7388,5.4779,94.1770,34.7388
172,LIVE,NEW_DATA,5.3732,94.2342,34.8699,5.3732,94.2342,34.8699
173,LIVE,NEW_DATA,5.6603,93.6446,34.5664,5.6603,93.6446,34.5664
174,LIVE,NEW_DATA,6.6528,93.2549,36.7449,6.6528,93.2549,36.7449
175,LIVE,NEW_DATA,5.5265,93.6008,36.9780,5.5265,93.6008,36.9780
176,LIVE,NEW_DATA,6.5862,94.0205,37.0598,6.5862,94.0205,37.0598
